"","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES","CLOSE_DEF_DIST"
"237",11.3,2,6,"missed",2.3,1,2,1,1.9
"238",12.4,3,7.9,"missed",2.3,1,2,1,2.3
"239",7.5,4,8.7,"made",2.4,1,2,0,2
"240",3.4,5,8.1,"made",5.2,2,2,1,2.1
"241",9.8,6,1.6,"made",0.2,2,2,0,0.3
"242",11.7,7,4.4,"missed",4.1,2,2,2,1.8
"243",7.8,8,2.6,"made",1.4,2,2,0,1
"244",10.5,9,0.5,"missed",1,2,2,0,0.4
"245",23.7,10,3.4,"missed",1.5,3,2,0,1.9
"246",8.9,11,6.9,"missed",3.9,4,2,1,2.5
"247",23.9,12,2.9,"missed",1.9,4,2,0,2.3
"248",3,13,8.1,"missed",1.8,4,2,1,1.9
"249",3.4,14,4.9,"missed",1.6,4,2,1,2.2
"250",9.6,1,2.5,"made",2,1,2,1,2.9
"251",24,2,6.9,"missed",1.4,1,2,0,5.2
"252",12.1,3,8.5,"missed",2.6,1,2,1,1.7
"253",14.6,4,2.5,"missed",3.7,2,2,3,1.4
"254",18.4,5,3.1,"made",0,2,2,0,3.3
"255",6.8,6,2.5,"made",0.2,2,2,0,4.4
"256",15.9,7,2.1,"made",0.3,3,2,0,3.6
"257",7,8,6.7,"missed",4.7,3,2,2,1.5
"258",10,9,6.6,"made",3.9,3,2,0,3.1
"259",24,10,1.3,"made",1.1,3,2,1,4.1
"260",14.5,11,1.4,"made",0.2,4,2,0,0.1
"261",4.7,12,0.8,"missed",0,4,2,0,0.8
"262",7.9,13,1.3,"made",0.2,4,2,0,1.7
"263",10.5,1,3.4,"made",0.3,1,2,0,0.6
"264",4,2,2.3,"made",2.1,1,2,0,0.3
"265",5.4,3,5.9,"missed",1.7,1,2,1,0.7
"266",8.9,4,2.9,"made",5.1,1,2,0,2.4
"267",2,5,5.5,"missed",4.6,1,2,2,2.4
"268",9.7,6,7,"made",3.5,1,2,1,2
"269",14.9,7,2.2,"made",0.2,2,2,0,1.7
"270",13.7,8,3.8,"made",0.8,2,2,0,1.6
"271",8.3,9,3.3,"made",0.3,2,2,0,2.1
"272",19.6,10,2.2,"made",0.2,2,2,0,3.1
"273",0,11,5.3,"missed",1,2,3,0,4.5
"274",9.8,12,2.4,"made",3.7,3,2,0,2.5
"275",7.4,13,3,"made",0.2,3,2,0,0
"276",4.3,14,4,"missed",5.1,3,2,1,1.4
"277",3.8,15,6.5,"made",4.9,3,2,3,2.7
"278",9.6,16,1.3,"made",1.3,3,2,0,3.4
"279",10,17,6.2,"missed",6.7,3,2,5,2
"280",11,18,6.8,"missed",3.5,4,2,2,2.9
"281",12.3,1,6.5,"made",1.8,1,2,1,2
"282",11.7,2,0.4,"made",1.2,1,2,0,4
"283",6.4,3,1.3,"made",0.9,1,2,0,4.1
"284",4.8,4,3,"made",2.1,1,2,1,3.1
"285",5.2,5,2.6,"made",1.7,1,2,1,0.6
"286",3.3,6,7.4,"missed",4.4,1,2,1,0.1
"287",9.3,7,2.8,"missed",2.6,2,2,0,2.7
"288",24,8,3,"made",0.7,2,2,0,1.2
"289",11.8,9,2.1,"made",0,2,2,0,0.1
"290",0,10,3.3,"missed",0.3,2,2,0,1.8
"291",12.6,11,7.3,"made",6.1,3,2,2,3.2
"292",17,12,1.4,"made",0,3,2,0,2.1
"293",2.5,13,7.4,"missed",5.4,3,2,2,2.2
"294",10,14,3.6,"missed",3,4,2,1,2.8
"295",0.5,15,4.8,"missed",1.2,4,2,0,2.2
"296",18,16,2.6,"made",1.3,4,2,1,2.1
"297",9,1,3.2,"missed",0.9,1,2,0,1.1
"298",16.4,2,2.2,"made",0.3,1,2,0,2.3
"299",6.5,3,5.1,"made",4.8,2,2,2,1.8
"300",13.3,4,2.3,"made",3.2,2,2,2,1.8
"301",4.5,5,8,"made",2.2,3,2,1,1.4
"302",5.5,6,3.4,"missed",5.7,3,2,3,2.3
"303",23.1,7,0.9,"made",1.6,4,2,0,1.7
"304",24,8,1.2,"missed",0.2,4,2,0,1.6
"305",4.7,1,8.9,"made",1.6,1,2,1,1.1
"306",10.3,2,1.1,"missed",4.5,1,2,3,2.1
"307",10.4,3,7.6,"made",0.9,2,2,0,2
"308",13,4,9.2,"missed",3.9,2,2,0,2
"309",8.9,5,5.9,"made",1.2,2,2,0,2.1
"310",11.3,6,4.3,"missed",0,2,2,0,1.1
"311",15.7,7,8.9,"missed",1.9,4,2,1,2.2
"312",6,8,7.2,"made",5.5,4,2,0,3.6
"313",9,9,1.6,"made",4.3,4,2,2,4.4
