"","GAME_CLOCK","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES"
"436",03:52:00,21.9,8,1.7,"missed",2.5,2,2,1
"437",00:37:00,7.3,9,16,"made",9.8,2,2,10
"438",00:05:00,5,10,25.2,"missed",19.1,2,3,17
"439",11:22:00,10,11,26.8,"missed",0,3,3,0
"440",08:56:00,14,13,4,"made",6.8,3,2,8
"441",01:21:00,13,14,25.4,"made",2.6,3,3,1
"442",00:42:00,8.3,15,25.8,"made",9,3,3,10
"443",00:04:00,NA,16,29.8,"missed",6.4,3,3,6
"444",11:00:00,1.1,17,10.3,"made",10,4,2,9
"445",09:32:00,7.6,18,28.9,"missed",16.3,4,3,15
"446",09:19:00,13,19,20.2,"missed",8.5,4,2,11
"447",07:39:00,4,20,25.3,"made",9.8,4,3,7
"448",02:54:00,6.5,21,2.5,"missed",18.2,4,2,13
"449",01:33:00,4,22,11.5,"missed",21.1,4,2,21
"450",00:51:00,4.4,23,20.3,"missed",17.5,4,2,17
"451",00:23:00,3,24,6,"made",5.3,4,2,1
"452",09:35:00,20.2,1,25.3,"missed",5.3,1,3,3
"453",08:01:00,8.2,2,4,"made",3.2,1,2,3
"454",07:18:00,14,3,4.6,"missed",3.6,1,2,1
"455",07:10:00,5.8,4,28,"made",3.7,1,3,0
"456",02:11:00,1.5,5,27.4,"made",0.9,1,3,0
"457",01:34:00,8.3,6,25,"missed",2,1,3,0
"458",00:15:00,8.1,7,3.4,"missed",4.6,1,2,0
"459",01:11:00,21.2,8,0.5,"made",3.9,2,2,4
"460",00:02:00,NA,9,2.8,"made",0,2,2,0
"461",06:35:00,17.4,10,24.8,"missed",7.1,3,3,1
"462",00:06:00,NA,11,7.3,"made",3.9,3,2,6
"463",11:30:00,11.7,12,3.9,"made",13.8,4,2,9
"464",09:28:00,15.6,13,2.8,"made",4.9,4,2,4
"465",08:23:00,12.3,14,24.7,"made",4.6,4,3,1
"466",03:55:00,9.1,15,3.7,"made",15.8,4,2,14
"467",02:17:00,2.4,16,25,"missed",8.3,4,3,2
"468",00:51:00,24,17,14.1,"made",0,4,2,0
"469",00:24:00,20.8,18,26.3,"missed",3.1,4,3,3
"470",10:35:00,14.6,1,3.9,"missed",5.4,1,2,2
"471",08:22:00,8.2,2,20.3,"made",5.2,1,2,1
"472",07:44:00,6,3,9.4,"missed",3,1,2,3
"473",04:19:00,7.9,4,25.5,"made",2.1,1,3,0
"474",05:45:00,10.1,5,19.7,"made",3.7,2,2,0
"475",05:08:00,21.7,6,28.2,"missed",0.7,2,3,0
"476",04:26:00,3.2,7,24.3,"missed",1.4,2,3,0
"477",03:21:00,4.6,8,20.2,"missed",4.5,2,2,2
"478",02:22:00,9.1,9,2.7,"missed",15.5,2,2,15
"479",01:04:00,0.3,10,33.6,"missed",4.6,2,3,0
"480",00:33:00,8.1,11,26,"missed",7.4,2,3,4
"481",11:21:00,7.2,12,20.5,"missed",4.2,3,2,1
"482",10:17:00,1.3,13,20,"missed",6,3,2,6
"483",07:33:00,8.8,14,3.1,"made",2.6,3,2,2
